site_id,year,province,variety,source_variety_code,maturation,lat,lon,BBCH_Principal,major_stage,major_stage_rank,observed_date
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,57,50,2,2023-04-02
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,57,50,2,2023-04-05
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,62,60,3,2023-04-08
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,62,60,3,2023-04-11
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,68,60,3,2023-04-14
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,71,70,4,2023-04-17
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,73,70,4,2023-04-20
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,75,70,4,2023-04-23
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,77,70,4,2023-04-26
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,79,70,4,2023-04-29
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,79,70,4,2023-05-02
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,79,70,4,2023-05-05
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,79,70,4,2023-05-08
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,79,70,4,2023-05-11
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,79,70,4,2023-05-14
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,79,70,4,2023-05-17
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,79,70,4,2023-05-20
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,79,70,4,2023-05-23
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,81,80,5,2023-05-26
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,81,80,5,2023-05-29
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,81,80,5,2023-06-01
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,83,80,5,2023-06-04
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,83,80,5,2023-06-07
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,83,80,5,2023-06-10
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,83,80,5,2023-06-13
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,83,80,5,2023-06-16
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,83,80,5,2023-06-19
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,83,80,5,2023-06-22
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,85,80,5,2023-06-25
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,85,80,5,2023-06-28
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,89,80,5,2023-07-01
Mingyang,2023,GuangXi,巨峰,JF,中,22.61,108.23,99,90,6,2023-07-04
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,15,10,1,2024-04-01
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,55,50,2,2024-04-04
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,57,50,2,2024-04-07
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,57,50,2,2024-04-10
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,61,60,3,2024-04-13
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,63,60,3,2024-04-16
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,73,70,4,2024-04-19
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,73,70,4,2024-04-22
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,73,70,4,2024-04-25
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,75,70,4,2024-04-28
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,75,70,4,2024-05-01
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,75,70,4,2024-05-04
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,76,70,4,2024-05-07
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,79,70,4,2024-05-10
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,79,70,4,2024-05-13
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,79,70,4,2024-05-16
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,79,70,4,2024-05-22
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,79,70,4,2024-05-25
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,81,80,5,2024-05-29
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,81,80,5,2024-06-01
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,81,80,5,2024-06-04
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,83,80,5,2024-06-07
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,83,80,5,2024-06-10
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,83,80,5,2024-06-13
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,85,80,5,2024-06-16
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,85,80,5,2024-06-19
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,85,80,5,2024-06-22
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,85,80,5,2024-06-25
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,85,80,5,2024-06-28
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,89,80,5,2024-07-01
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,89,80,5,2024-07-04
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,89,80,5,2024-07-07
Mingyang,2024,GuangXi,巨峰,JF,中,22.61,108.23,89,80,5,2024-07-10
guilin,2022,GuangXi,温克,wk,晚,25.45,110.8,17,10,1,2022-04-03
guilin,2022,GuangXi,温克,wk,晚,25.45,110.8,53,50,2,2022-04-10
guilin,2022,GuangXi,温克,wk,晚,25.45,110.8,55,50,2,2022-04-17
guilin,2022,GuangXi,温克,wk,晚,25.45,110.8,57,50,2,2022-04-24
guilin,2022,GuangXi,温克,wk,晚,25.45,110.8,61,60,3,2022-05-04
guilin,2022,GuangXi,温克,wk,晚,25.45,110.8,71,70,4,2022-05-13
guilin,2022,GuangXi,温克,wk,晚,25.45,110.8,75,70,4,2022-05-21
