model,biofix_rule,evaluation,all_n_events,all_mean_abs_stage_distance,all_exact_major_accuracy,all_display_major_accuracy,all_transition_display_rate,all_adjacent_major_accuracy,all_severe_error_rate,core_no90_n_events,core_no90_mean_abs_stage_distance,core_no90_exact_major_accuracy,core_no90_display_major_accuracy,core_no90_transition_display_rate,core_no90_adjacent_major_accuracy,core_no90_severe_error_rate
cultivar_major_thresholds,tmean_ge_10_run_5d,3fold_after_one_user_feedback,145,0.47586206896551725,0.593103448275862,0.7448275862068966,0.5379310344827586,0.9448275862068966,0.05517241379310345,144,0.4722222222222222,0.5972222222222222,0.75,0.5416666666666666,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds_offset,tmean_ge_10_run_5d,3fold_after_one_user_feedback,145,0.47586206896551725,0.593103448275862,0.7448275862068966,0.5379310344827586,0.9448275862068966,0.05517241379310345,144,0.4722222222222222,0.5972222222222222,0.75,0.5416666666666666,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds,tmean_ge_12_run_5d,3fold_after_one_user_feedback,145,0.4827586206896552,0.5862068965517241,0.7448275862068966,0.5379310344827586,0.9448275862068966,0.05517241379310345,144,0.4791666666666667,0.5902777777777778,0.75,0.5416666666666666,0.9444444444444444,0.05555555555555555
cultivar_major_thresholds_offset,tmean_ge_12_run_5d,3fold_after_one_user_feedback,145,0.4827586206896552,0.5862068965517241,0.7448275862068966,0.5379310344827586,0.9448275862068966,0.05517241379310345,144,0.4791666666666667,0.5902777777777778,0.75,0.5416666666666666,0.9444444444444444,0.05555555555555555
shared_major_thresholds_cultivar_offset,tmean_ge_12_run_7d,3fold_after_one_user_feedback,145,0.6827586206896552,0.4206896551724138,0.5724137931034483,0.4827586206896552,0.903448275862069,0.09655172413793103,144,0.6805555555555556,0.4236111111111111,0.5763888888888888,0.4861111111111111,0.9027777777777778,0.09722222222222222
shared_major_thresholds_cultivar_offset,tmean_ge_8_run_7d,3fold_after_one_user_feedback,145,0.6827586206896552,0.4206896551724138,0.5655172413793104,0.4896551724137931,0.903448275862069,0.09655172413793103,144,0.6805555555555556,0.4236111111111111,0.5694444444444444,0.4930555555555556,0.9027777777777778,0.09722222222222222
shared_major_thresholds_cultivar_offset,tmean_ge_10_run_7d,3fold_after_one_user_feedback,145,0.6827586206896552,0.4206896551724138,0.5655172413793104,0.4896551724137931,0.903448275862069,0.09655172413793103,144,0.6805555555555556,0.4236111111111111,0.5694444444444444,0.4930555555555556,0.9027777777777778,0.09722222222222222
shared_major_thresholds_cultivar_offset,tmean_ge_8_run_5d,3fold_after_one_user_feedback,145,0.7034482758620689,0.41379310344827586,0.5655172413793104,0.4827586206896552,0.896551724137931,0.10344827586206896,144,0.7013888888888888,0.4166666666666667,0.5694444444444444,0.4861111111111111,0.8958333333333334,0.10416666666666667
shared_major_thresholds_cultivar_offset,tmean_ge_8_run_3d,3fold_after_one_user_feedback,145,0.7034482758620689,0.4068965517241379,0.5655172413793104,0.496551724137931,0.896551724137931,0.10344827586206896,144,0.7013888888888888,0.4097222222222222,0.5694444444444444,0.5,0.8958333333333334,0.10416666666666667
shared_major_thresholds_cultivar_offset,tmean_ge_10_run_3d,3fold_after_one_user_feedback,145,0.7034482758620689,0.4068965517241379,0.5655172413793104,0.496551724137931,0.896551724137931,0.10344827586206896,144,0.7013888888888888,0.4097222222222222,0.5694444444444444,0.5,0.8958333333333334,0.10416666666666667
shared_major_thresholds_cultivar_offset,tmean_ge_12_run_3d,3fold_after_one_user_feedback,145,0.7034482758620689,0.4068965517241379,0.5655172413793104,0.496551724137931,0.896551724137931,0.10344827586206896,144,0.7013888888888888,0.4097222222222222,0.5694444444444444,0.5,0.8958333333333334,0.10416666666666667
shared_major_thresholds_cultivar_offset,jan1,3fold_after_one_user_feedback,145,0.696551724137931,0.41379310344827586,0.5586206896551724,0.496551724137931,0.896551724137931,0.10344827586206896,144,0.6944444444444444,0.4166666666666667,0.5625,0.5,0.8958333333333334,0.10416666666666667
