id,created_datetime,text
1205,2025-12-10T01:33:07.454215+00:00,
1206,2025-12-10T01:33:21.459940+00:00,"Image1:观测10X10 (3).jpg, Normal:51, Malformed:0, Empty:1, MalformationRate:0.0%, GerminationRate:1.9%
Total: Number of images: 1, Normal:51, Malformed:0, Empty:1, MalformationRate:0.0%, GerminationRate:1.9%"
1207,2025-12-10T01:38:44.219026+00:00,
1208,2025-12-10T01:38:49.936148+00:00,"Image1:观测10X20 (1).jpg, Normal:12, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Total: Number of images: 1, Normal:12, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%"
1209,2025-12-10T01:44:00.840854+00:00,
1210,2025-12-10T01:44:06.847157+00:00,"Image1:观测10X20 (78).jpg, Normal:57, Malformed:0, Empty:1, MalformationRate:0.0%, GerminationRate:1.7%
Total: Number of images: 1, Normal:57, Malformed:0, Empty:1, MalformationRate:0.0%, GerminationRate:1.7%"
1211,2025-12-10T01:48:48.677318+00:00,
1212,2025-12-10T01:48:54.298987+00:00,"Image1:观测10X20 (84).jpg, Normal:5, Malformed:1, Empty:0, MalformationRate:16.7%, GerminationRate:0.0%
Total: Number of images: 1, Normal:5, Malformed:1, Empty:0, MalformationRate:16.7%, GerminationRate:0.0%"
1213,2025-12-10T01:49:17.847639+00:00,
1214,2025-12-10T01:49:23.455070+00:00,"Image1:观测10X20 (84).jpg, Normal:5, Malformed:1, Empty:0, MalformationRate:16.7%, GerminationRate:0.0%
Total: Number of images: 1, Normal:5, Malformed:1, Empty:0, MalformationRate:16.7%, GerminationRate:0.0%"
1215,2025-12-10T01:54:13.438718+00:00,
1216,2025-12-10T01:54:19.061309+00:00,"Image1:观测10X20 (85).jpg, Normal:12, Malformed:1, Empty:0, MalformationRate:7.7%, GerminationRate:0.0%
Total: Number of images: 1, Normal:12, Malformed:1, Empty:0, MalformationRate:7.7%, GerminationRate:0.0%"
1217,2025-12-10T01:57:13.573362+00:00,
1218,2025-12-10T01:57:19.298491+00:00,"Image1:观测10X20 (17).jpg, Normal:2, Malformed:0, Empty:12, MalformationRate:0.0%, GerminationRate:85.7%
Total: Number of images: 1, Normal:2, Malformed:0, Empty:12, MalformationRate:0.0%, GerminationRate:85.7%"
1219,2025-12-10T02:00:20.660790+00:00,
1220,2025-12-10T02:00:26.312988+00:00,"Image1:观测10x20 (21).tif, Normal:2, Malformed:1, Empty:0, MalformationRate:33.3%, GerminationRate:0.0%
Total: Number of images: 1, Normal:2, Malformed:1, Empty:0, MalformationRate:33.3%, GerminationRate:0.0%"
1221,2025-12-10T02:01:07.813092+00:00,
1222,2025-12-10T02:01:13.486689+00:00,"Image1:观测10x20 (21).tif, Normal:2, Malformed:1, Empty:0, MalformationRate:33.3%, GerminationRate:0.0%
Total: Number of images: 1, Normal:2, Malformed:1, Empty:0, MalformationRate:33.3%, GerminationRate:0.0%"
1223,2025-12-10T02:06:05.225666+00:00,
1224,2025-12-10T02:06:10.939610+00:00,"Image1:观测10X20 (31).tif, Normal:4, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%
Total: Number of images: 1, Normal:4, Malformed:0, Empty:0, MalformationRate:0.0%, GerminationRate:0.0%"
