id,name,content_type_id,codename
86,Can change 作物天气天气象数据,22,change_cropdailyweather
87,Can delete 作物天气天气象数据,22,delete_cropdailyweather
88,Can view 作物天气天气象数据,22,view_cropdailyweather
89,Can add 田间记录,23,add_recode
90,Can change 田间记录,23,change_recode
91,Can delete 田间记录,23,delete_recode
92,Can view 田间记录,23,view_recode
93,Can add note,24,add_note
94,Can change note,24,change_note
95,Can delete note,24,delete_note
96,Can view note,24,view_note
97,Can add image,25,add_image
98,Can change image,25,change_image
