id,image,note_id
2005,grape/static/yolo/10X40倍_8.tif,1250
2006,grape/static/yolo/10X40倍_14.tif,1251
2007,grape/static/yolo/10X40倍_14.tif,1252
2008,grape/static/yolo/10X40倍_29.tif,1253
2009,grape/static/yolo/10X40倍_29.tif,1254
2010,grape/static/yolo/10X40倍_29.tif,1255
2011,grape/static/yolo/10X40倍_29.tif,1256
2012,grape/static/yolo/10X40倍_42.tif,1257
2013,grape/static/yolo/10X40倍_42.tif,1258
2014,grape/static/yolo/10X40倍_44.tif,1259
2015,grape/static/yolo/10X40倍_44.tif,1260
2016,grape/static/yolo/10X40倍_47.tif,1261
2017,grape/static/yolo/10X40倍_47.tif,1262
2018,grape/static/yolo/10X40倍_49.tif,1263
2019,grape/static/yolo/10X40倍_49.tif,1264
2020,grape/static/yolo/10X40倍_55.tif,1265
2021,grape/static/yolo/10X40倍_55.tif,1266
2022,grape/static/yolo/10X40倍_57.tif,1267
2023,grape/static/yolo/10X40倍_57.tif,1268
2024,grape/static/yolo/10X40倍_55.tif,1269
2025,grape/static/yolo/10X40倍_55.tif,1270
2026,grape/static/yolo/10X40倍_55.tif,1271
2027,grape/static/yolo/10X40倍_55.tif,1272
2028,grape/static/yolo/10X40倍_161.tif,1273
2029,grape/static/yolo/10X40倍_161.tif,1274
2030,grape/static/yolo/4-4.jpg,1275
2031,grape/static/yolo/pv3-4-10x2098.jpg,1275
2032,grape/static/yolo/4-4.jpg,1276
2033,grape/static/yolo/pv3-4-10x2098.jpg,1276
2034,grape/static/yolo/4-4.jpg,1277
2035,grape/static/yolo/pv3-4-10x2098.jpg,1277
2036,grape/static/yolo/4-4.jpg,1278
2037,grape/static/yolo/pv3-4-10x2098.jpg,1278
2038,grape/static/yolo/4-4.jpg,1279
2039,grape/static/yolo/Propamocarb-0046.jpg,1279
2040,grape/static/yolo/4-4.jpg,1280
2041,grape/static/yolo/Propamocarb-0046.jpg,1280
2042,grape/static/yolo/Propamocarb-0046.jpg,1280
2043,grape/static/yolo/Propamocarb-0300.jpg,1280
2044,grape/static/yolo/4-4.jpg,1281
2045,grape/static/yolo/pv3-4-10x2098.jpg,1281
2046,grape/static/yolo/4-4.jpg,1282
2047,grape/static/yolo/pv3-4-10x2098.jpg,1282
2048,grape/static/yolo/4-4.jpg,1283
2049,grape/static/yolo/pv3-4-10x2098.jpg,1283
2050,grape/static/yolo/4-4.jpg,1284
2051,grape/static/yolo/pv3-4-10x2098.jpg,1284
2052,grape/static/yolo/4-4.jpg,1285
2053,grape/static/yolo/pv3-4-10x2098.jpg,1285
2054,grape/static/yolo/4-4.jpg,1286
2055,grape/static/yolo/pv3-4-10x2098.jpg,1286
2056,grape/static/yolo/4-4.jpg,1287
2057,grape/static/yolo/pv3-4-10x2098.jpg,1287
2058,grape/static/yolo/Propamocarb-0046.jpg,1287
2059,grape/static/yolo/Propamocarb-0046.jpg,1288
2060,grape/static/yolo/4-4.jpg,1288
2061,grape/static/yolo/pv3-4-10x2098.jpg,1288
2062,grape/static/yolo/4-4.jpg,1289
2063,grape/static/yolo/pv3-4-10x2098.jpg,1289
2064,grape/static/yolo/4-4.jpg,1290
2065,grape/static/yolo/pv3-4-10x2098.jpg,1290
2066,grape/static/yolo/4-4.jpg,1291
2067,grape/static/yolo/pv3-4-10x2098.jpg,1291
2068,grape/static/yolo/pv3-4-10x2098.jpg,1291
2069,grape/static/yolo/4-4.jpg,1292
2070,grape/static/yolo/pv3-4-10x2098.jpg,1292
2071,grape/static/yolo/pv3-4-10x2098.jpg,1292
2072,grape/static/yolo/pv3-4-10x2098.jpg,1292
2073,grape/static/yolo/4-4.jpg,1293
2074,grape/static/yolo/pv3-4-10x2098.jpg,1293
2075,grape/static/yolo/pv3-4-10x2098.jpg,1293
2076,grape/static/yolo/pv3-4-10x2098.jpg,1293
2077,grape/static/yolo/4-4.jpg,1294
2078,grape/static/yolo/4-4.jpg,1295
2079,grape/static/yolo/4-4.jpg,1296
2080,grape/static/yolo/4-4.jpg,1297
2081,grape/static/yolo/pv3-4-10x2098.jpg,1297
2082,grape/static/yolo/4-4.jpg,1298
2083,grape/static/yolo/pv3-4-10x2098.jpg,1298
2084,grape/static/yolo/4-4.jpg,1299
2085,grape/static/yolo/4-4.jpg,1300
